Tureleks_Blades_Rosynants_Names.ESP: DUP-REC JUNKCEL MISSAUT MISSDSC MISSVER OVR-REC
    [JUNKCEL] Junk Cells:                        Flags
	Ashlands Region (0, 0)                   0x02
    [OVR-REC] Overridden Records:
	From Master         Type    Name
	morrowind.esm       LEVI    l_n_wpn_melee_spear
	morrowind.esm       LEVI    random ebony weapon
	morrowind.esm       LEVI    random excellent melee weapon
	morrowind.esm       LEVI    random_daedric_weapon
	morrowind.esm       LEVI    random_dwemer_weapon
	morrowind.esm       LEVI    random_glass_weapon
	morrowind.esm       LEVI    random_golden_saint_weapon
	morrowind.esm       LEVI    random_iron_weapon
	morrowind.esm       LEVI    random_nordic_weapons
	morrowind.esm       LEVI    random_silver_weapon
	morrowind.esm       LEVI    random_steel_weapon
	morrowind.esm       LEVI    random_weapon_melee_basic
